ID_Distrito,Nome_Distrito,Regiao
355030801,Água Rasa,São Paulo
355030802,Alto de Pinheiros,São Paulo
355030803,Anhanguera,São Paulo
355030804,Aricanduva,São Paulo
355030805,Artur Alvim,São Paulo
355030806,Barra Funda,São Paulo
355030807,Bela Vista,São Paulo
355030808,Belém,São Paulo
355030809,Bom Retiro,São Paulo
355030810,Brás,São Paulo
355030811,Brasilândia,São Paulo
355030812,Butantã,São Paulo
355030813,Cachoeirinha,São Paulo
355030814,Cambuci,São Paulo
355030815,Campo Belo,São Paulo
355030816,Campo Grande,São Paulo
355030817,Campo Limpo,São Paulo
355030818,Cangaiba,São Paulo
355030819,Capão Redondo,São Paulo
355030820,Carrão,São Paulo
355030821,Casa Verde,São Paulo
355030822,Cidade Ademar,São Paulo
355030823,Cidade Dutra,São Paulo
355030824,Cidade Lider,São Paulo
355030825,Cidade Tiradentes,São Paulo
355030826,Consolação,São Paulo
355030827,Cursino,São Paulo
355030828,Ermelino Matarazzo,São Paulo
355030829,Freguesia do Ó,São Paulo
355030830,Grajaú,São Paulo
355030831,Guaianases,São Paulo
355030832,Moema,São Paulo
355030833,Iguatemi,São Paulo
355030834,Ipiranga,São Paulo
355030835,Itaim Bibi,São Paulo
355030836,Itaim Paulista,São Paulo
355030837,Itaquera,São Paulo
355030838,Jabaquara,São Paulo
355030839,Jaçanã,São Paulo
355030840,Jaguara,São Paulo
355030841,Jaguaré,São Paulo
355030842,Jaraguá,São Paulo
355030843,Jardim Ângela,São Paulo
355030844,Jardim Helena,São Paulo
355030845,Jardim Paulista,São Paulo
355030846,Jardim São Luís,São Paulo
355030847,José Bonifácio,São Paulo
355030848,Lapa,São Paulo
355030849,Liberdade,São Paulo
355030850,Limão,São Paulo
355030851,Mandaqui,São Paulo
355030852,Marsilac,São Paulo
355030853,Mooca,São Paulo
355030854,Morumbi,São Paulo
355030855,Parelheiros,São Paulo
355030856,Pari,São Paulo
355030857,Parque do Carmo,São Paulo
355030858,Pedreira,São Paulo
355030859,Penha,São Paulo
355030860,Perdizes,São Paulo
355030861,Perus,São Paulo
355030862,Pinheiros,São Paulo
355030863,Pirituba,São Paulo
355030864,Ponte Rasa,São Paulo
355030865,Raposo Tavares,São Paulo
355030866,República,São Paulo
355030867,Rio Pequeno,São Paulo
355030868,Sacomã,São Paulo
355030869,Santa Cecília,São Paulo
355030870,Santana,São Paulo
355030871,Santo Amaro,São Paulo
355030872,São Lucas,São Paulo
355030873,São Mateus,São Paulo
355030874,São Miguel,São Paulo
355030875,São Rafael,São Paulo
355030876,Sapopemba,São Paulo
355030877,Saúde,São Paulo
355030878,Sé,São Paulo
355030879,Socorro,São Paulo
355030880,Tatuapé,São Paulo
355030881,Tremembé,São Paulo
355030882,Tucuruvi,São Paulo
355030883,Vila Andrade,São Paulo
355030884,Vila Curuçá,São Paulo
355030885,Vila Formosa,São Paulo
355030886,Vila Guilherme,São Paulo
355030887,Vila Jacuí,São Paulo
355030888,Vila Leopoldina,São Paulo
355030889,Vila Maria,São Paulo
355030890,Vila Mariana,São Paulo
355030891,Vila Matilde,São Paulo
355030892,Vila Medeiros,São Paulo
355030893,Vila Prudente,São Paulo
355030894,Vila Sônia,São Paulo
355030895,São Domingos,São Paulo
355030896,Lajeado,São Paulo
